nppa_drug_name,salt_id,dosage_form,strength,ceiling_price_2026,drugs_matched_form,drugs_matched_exact,violations
5-amino salicylic Acid (Mesalazine/Mesalamine),78fd4825-cbe3-4c5c-a354-ee55a9644af2,Suppository,500 mg,17.86,0,0,0
5-amino salicylic Acid (Mesalazine/Mesalamine),78fd4825-cbe3-4c5c-a354-ee55a9644af2,Enema,(Foam),17.11,0,0,0
5-amino salicylic Acid (Mesalazine/Mesalamine),78fd4825-cbe3-4c5c-a354-ee55a9644af2,Enema,(Liquid),2.17,0,0,0
Abacavir,21e775cb-a617-4e1d-bade-849b9359d96a,Tablet,300 mg,49.76,8,3,1
Abacavir (A) +Lamivudine(B),21e775cb-a617-4e1d-bade-849b9359d96a,Tablet,600mg (A) +300mg (B),74.06,8,5,4
Acetazolamide,1a03fb5e-1d33-4373-8ea5-8aa5e6dd3597,Tablet,250mg,4.16,27,25,4
Acetazolamide,1a03fb5e-1d33-4373-8ea5-8aa5e6dd3597,Capsule,250mg,5.17,4,3,1
Acyclovir,8f19f33c-a0de-4ad4-9fdf-48c9b827dc8a,Tablet,400mg,13.99,226,84,7
Acyclovir,8f19f33c-a0de-4ad4-9fdf-48c9b827dc8a,Tablet,200mg,7.79,226,62,5
Acyclovir,8f19f33c-a0de-4ad4-9fdf-48c9b827dc8a,Injection,250 mg,436.64,40,14,0
Acyclovir,8f19f33c-a0de-4ad4-9fdf-48c9b827dc8a,Injection,500 mg,541.14,40,25,3
Acyclovir,8f19f33c-a0de-4ad4-9fdf-48c9b827dc8a,Tablet,800mg,38.57,226,77,4
Acyclovir,8f19f33c-a0de-4ad4-9fdf-48c9b827dc8a,Ointment,3%,11.95,19,0,0
Acyclovir,8f19f33c-a0de-4ad4-9fdf-48c9b827dc8a,Oral Liquid,400mg/5mL (p),1.39,0,0,0
Adenosine,9a9e9948-4dba-4361-9958-812526f376d0,Injection,3mg/mL,95.09,11,5,2
Adrenaline,da572979-efab-48e6-8c17-e10ab6f304d2,Injection,1mg/mL,12.52,8,5,5
Albendazole,d9371beb-ae8e-4064-9237-ba79f5565086,Oral Liquid,200mg/5mL(p),1.83,0,0,0
Albendazole,d9371beb-ae8e-4064-9237-ba79f5565086,Tablet,400mg,7.21,501,474,404
Albendazole,d9371beb-ae8e-4064-9237-ba79f5565086,Tablet,400mg,8.32,501,474,332
Allopurinol,8ecb9e3d-a7c4-4916-abcb-abc9533071a7,Tablet,300mg,5.77,156,56,16
Allopurinol,8ecb9e3d-a7c4-4916-abcb-abc9533071a7,Tablet,100mg,1.93,156,97,64
Alprostadil,cf305a87-085a-40ca-bcba-d3ffb3443d86,Injection,0.5mg/mL,6253.38,5,0,0
Amikacin,2bab8024-1f03-47e6-b0f7-9acd3f0702ac,Injection,250mg/mL,55.47,1784,419,4
Amiodarone,34e1c11e-20bb-4aca-af77-4829b645f9c8,Tablet,200mg,11.79,27,12,3
Amiodarone,34e1c11e-20bb-4aca-af77-4829b645f9c8,Tablet,100mg,6.29,27,15,3
Amiodarone,34e1c11e-20bb-4aca-af77-4829b645f9c8,Injection,50mg/mL,21.64,6,0,0
Amitriptyline,c1b662c5-2224-4409-918f-f7fd3715585b,Tablet,50mg,6.13,588,29,5
Amitriptyline,c1b662c5-2224-4409-918f-f7fd3715585b,Tablet,75mg,5.58,588,32,8
Amitriptyline,c1b662c5-2224-4409-918f-f7fd3715585b,Tablet,25mg,2.55,588,225,88
Amitriptyline,c1b662c5-2224-4409-918f-f7fd3715585b,Tablet,10mg,2.45,588,171,35
Amlodipine,c6c3adc2-afcb-442e-9a55-e1e19a9155ca,Tablet,2.5mg,1.83,1405,147,78
Amlodipine,c6c3adc2-afcb-442e-9a55-e1e19a9155ca,Tablet,5mg,2.56,1405,1137,827
Amlodipine,c6c3adc2-afcb-442e-9a55-e1e19a9155ca,Tablet,10mg,5.58,1405,109,23
Amoxicillin,527b2c82-0c4b-4b1f-a097-2beeafaa1075,Capsule,250mg,2.5,1514,924,819
Amoxicillin,527b2c82-0c4b-4b1f-a097-2beeafaa1075,Capsule,500mg,7.54,1514,567,52
Amoxicillin,527b2c82-0c4b-4b1f-a097-2beeafaa1075,Oral Liquid,250 mg/5 mL (p),1.6,0,0,0
