id,name,synonyms
527b2c82-0c4b-4b1f-a097-2beeafaa1075,Amoxicillin,Amoxicillin 250mg + Clavulanic Acid 150mg|Amoxicillin 500mg + Potassium Clavulanate 125mg|Amoxicillin 350mg + Clavulanic Acid 75mg|Amoxicillin NA + Cloxacillin NA|Amoxicillin 250mg + Clavulanic Acid 250mg|Amoxicillin 500mg + Clavulanic Acid 12.5mg|Amoxicillin 500mg + Serratiopeptidase 5mg|Amoxicillin 250mg + Cloxacillin 125mg|Amoxicillin 500mg + Lactobacillus 1700Million spores|Amoxicillin 100mg|Amoxicillin 250mg + Bromhexine 4mg|Amoxicillin 125mg + Clavulanic Acid 62.5mg|Amoxicillin 250mg + Clavulanic Acid 28.5mg|Amoxicillin 200mg + Clavulanic Acid 37.5mg|Amoxicillin 400mg + Clavulanic Acid 47mg|Amoxicillin 200mg + Clavulanic Acid 125mg|Amoxicillin 200mg + Clavulanic Acid 200mg|Amoxicillin 125mg + Bromhexine NA|Amoxicillin 50mg/5ml + Clavulanic Acid 31.25mg/5ml|Amoxicillin 150mg + Bromhexine NA
a9c7d79a-7101-40b7-a355-2a4151d64556,Clavulanic Acid,
a4031d7c-7765-4de4-8e9b-268145df360a,Azithromycin,Azithromycin 500mg + Lactic acid bacillus 60Million spores|Azithromycin 1000mg + Ornidazole 750mg|Azithromycin 20mg|Azithromycin NA|Azithromycin 200mg/15ml|Azithromycin 250mg + Ofloxacin 200mg|Azithromycin 100mg/5ml|Azithromycin 125mg/5ml|Azithromycin 1gm|Azithromycin 125mg + Ofloxacin 50mg|Azithromycin 200mg|Azithromycin 1% w/v|Azithromycin 600mg|Azithromycin NA + Ambroxol NA|Azithromycin 40mg|Azithromycin 1gm + Ornidazole 1.5gm|Azithromycin 125mg|Azithromycin 500mg|Azithromycin 500mg + Saccharomyces boulardii 2Million spores|Azithromycin 40mg/ml
bb9bead0-2b8d-4af9-95b0-cea6b5e89abe,Ambroxol,Ambroxol 4mg/5ml + Cetirizine 2.5mg/5ml|Ambroxol 30mg + Cefadroxil 250mg|Ambroxol 15mg/5ml + Guaifenesin 5mg/5ml|Ambroxol 30.mg/5ml + Levosalbutamol 1mg/5ml|Ambroxol 4mg + Guaifenesin 100mg|Ambroxol 20mg/5ml + Guaifenesin 50mg/5ml|Ambroxol 100mg|Ambroxol 7.5mg + Cetirizine 1.25mg|Ambroxol 50mg/5ml + Guaifenesin 15mg/5ml|Ambroxol 30mg + Pseudoephedrine 60mg|Ambroxol 100mg + Doxycycline 75mg|Ambroxol 15mg/5ml + Guaifenesin 25mg/5ml|Ambroxol 60mg + Loratadine 5mg|Ambroxol 30mg + Levocetirizine 5mg|Ambroxol 20mg + Guaifenesin 50mg|Ambroxol 15mg + Levosalbutamol 0.5mg|Ambroxol 12.5mg + Levosalbutamol 1mg|Ambroxol 30mg + Levosalbutamol 0.5mg|Ambroxol NA + Levocetirizine NA|Ambroxol 30mg + Guaifenesin 100mg
98f2e441-0ccb-49d8-8acc-c4fd32601b26,Levosalbutamol,Levosalbutamol 0.5mg/15ml + Ambroxol 15mg/15ml|Levosalbutamol 1.25mg + Budesonide 1mg|Levosalbutamol 50mcg + Beclometasone 50mcg|Levosalbutamol 1.25mg + Budesonide 0.5mg|Levosalbutamol 100mcg|Levosalbutamol 1mg/5ml|Levosalbutamol 1.25mg|Levosalbutamol NA + Ipratropium NA|Levosalbutamol 1mg/5ml + Ambroxol 15mg/5ml|Levosalbutamol 50mcg + Ipratropium 20mcg|Levosalbutamol 1mg + Ambroxol 15mg|Levosalbutamol 1mg|Levosalbutamol 2.5mg + Budesonide 1mg|Levosalbutamol 100mcg + Ipratropium 40mcg|Levosalbutamol 1.25mg + Ipratropium 0.5mg|Levosalbutamol 0.5mg/5ml + Ambroxol 30mg/5ml|Levosalbutamol 100mcg + Beclometasone 200mcg|Levosalbutamol 0.63mg|Levosalbutamol 50mcg|Levosalbutamol 0.2mg + Ambroxol 6mg
1f5265ef-7c72-40ac-8672-7e1d88c32412,Fexofenadine,Fexofenadine 40mg|Fexofenadine NA|Fexofenadine 120 mg|Fexofenadine 120mg|Fexofenadine 60mg|Fexofenadine 180mg|Fexofenadine 30mg/5ml|Fexofenadine 60mg + Phenylephrine 10mg|Fexofenadine 30mg/5ml + Phenylephrine 2.5mg/5ml|Fexofenadine 30mg
8918f2b3-9d0e-428d-828b-e26ea44fdabd,Pheniramine,Pheniramine 10mg|Pheniramine 25mg|Pheniramine 22.75mg/ml|Pheniramine 50mg|Pheniramine 25mg/5ml|Pheniramine 22.75mg|Pheniramine 100mg
d0673617-5470-4b98-ae96-ba0dd3af6adf,Montelukast,Montelukast NA + Fexofenadine NA|Montelukast 5mg|Montelukast NA|Montelukast 120mg + Fexofenadine 10mg|Montelukast 4mg/5ml + Fexofenadine 60mg/5ml|Montelukast 4mg + Fexofenadine 10mg|Montelukast 10mg + Fexofenadine 180mg|Montelukast 10mg + Fexofenadine 120mg|Montelukast 100mg + Fexofenadine 120mg|Montelukast 4mg + Fexofenadine 60mg|Montelukast 10mg|Montelukast 4mg + Fexofenadine 120mg|Montelukast 10mg + Theophylline 400mg|Montelukast 4mg/5ml|Montelukast 4mg + Fexofenadine 30mg|Montelukast 10mg + Levocetirizine 5mg|Montelukast 10mg + Fexofenadine 160mg|Montelukast 5mg + Fexofenadine 120mg|Montelukast 4mg|Montelukast 4mg/5ml + Fexofenadine 30mg/5ml
38b32e50-95c8-4a96-a141-1648e3a42068,Hydroxyzine,Hydroxyzine 6mg|Hydroxyzine 50mg|Hydroxyzine 10mg|Hydroxyzine 6mg/ml|Hydroxyzine 6mg/1ml|Hydroxyzine NA|Hydroxyzine 10mg/5ml|Hydroxyzine 25mg
2d324652-8a1a-44e9-9195-3bcbf33f8717,Phenylephrine,Phenylephrine 5mcg + Chlorpheniramine Maleate 2mg|Phenylephrine 10mg|Phenylephrine 2.5%|Phenylephrine 2.5mg/5ml + Chlorpheniramine Maleate 2mg/5ml|Phenylephrine 10mg + Nimesulide 100mg|Phenylephrine NA + Beclometasone NA|Phenylephrine 0.12% w/v + Naphazoline 0.05% w/v|Phenylephrine 0.5% w/v + Tropicamide 0.8% w/v|Phenylephrine 7.5mg/5ml + Chlorpheniramine Maleate 5mg/5ml|Phenylephrine 5mg/5ml + Guaifenesin 50mg/5ml|Phenylephrine 2mg + Chlorpheniramine Maleate 2mg|Phenylephrine 2.5mg/ml + Chlorpheniramine Maleate 1mg/ml|Phenylephrine 5% + Atropine 1%|Phenylephrine 5mg + Guaifenesin 50mg|Phenylephrine 5mg + Triprolidine 0.625mg|Phenylephrine 5mg + Chlorpheniramine Maleate 2mg|Phenylephrine 5.0% w/v + Tropicamide 0.8% w/v|Phenylephrine 5% w/v|Phenylephrine 2.5% w/v + Tropicamide 0.8% w/v|Phenylephrine 12.5mg + Chlorpheniramine Maleate 2mg
