store_code,address,district,state,pin_code,phone,status
PMBJK00863,"Mm-1/70 Sector- A, Sbi Colony Sitapur Road Yojna, Po- Jankipuram, LuckNo-w",Lucknow,Uttar Pradesh,226021,,Operational
PMBJK02474,"Shop No-Lgf 10, B-1833/1, Indira Nagar, LuckNo-w, Up 226016",Lucknow,Uttar Pradesh,226016,9415107229,Operational
PMBJK02476,"Jan Aushadhi Medical Store-CSC, 3/70, Sector-G, Sbi Basement, Tedhipulia Kursi Road, Jankipuram, LuckNo-w, Up-226021",Lucknow,Uttar Pradesh,226021,8400400405,Operational
PMBJK02477,"D-4/240, Near Shankar Chauraha, Vishal Khand 4, Po, Ps-Gomti Nagar, LuckNo-w, Up 226010",Lucknow,Uttar Pradesh,226010,9559764583,Operational
PMBJK02479,"93/32, Grain Market, Ganesh Ganj, LuckNo-w, Up-226018",Lucknow,Uttar Pradesh,226018,9598921010,Operational
PMBJK02481,"Ho No- A-1363/5, Near Vikas Bhawan, New Sarvodaya Nagar, Po-Indira Nagar, Ps-Gazipur 226016",Lucknow,Uttar Pradesh,226016,,Operational
PMBJK02482,"C-2261, Rajajipuram, Po-Rajajipuram, Ps-Tal Katora 226017",Lucknow,Uttar Pradesh,226017,,Operational
PMBJK02483,"Sai Shakun Tower, Gole Market, Mahanagar, Lucknow",Lucknow,Uttar Pradesh,226006,9839766222,Operational
PMBJK02484,Vinay Khand Gomti Nagar Po. Gomti Nagar Dist. LuckNo-w226010,Lucknow,Uttar Pradesh,226010,9415864080,Operational
PMBJK02485,"8/4, Saraswatipuram, Po-Sgpgi, Ps-Sgpgi, LuckNo-w 226014",Lucknow,Uttar Pradesh,226014,9984688886,Operational
PMBJK02486,"4 Pandey Market, Patel Nagar, Indra Nagar, Faizabad Road, Po. Ghzaipur Dist. LuckNo-w -226016",Lucknow,Uttar Pradesh,226016,,Operational
PMBJK02487,Purana Ganesh Ganj Aminabad Road Po. Ganesh Ganj Dist. LuckNo-w-226018,Lucknow,Uttar Pradesh,226018,9451951820,Operational
PMBJK02488,"Shop No-1 Aziz Nagar Near Madiyaon, Mohibulahpur, Sitapur Road, LuckNo-w -226021",Lucknow,Uttar Pradesh,226021,7376124818,Operational
PMBJK02489,L-3/467 Vineet KhandGomti Nagar Dist. LuckNo-w 226010,Lucknow,Uttar Pradesh,226010,9235838382,Operational
PMBJK02490,"B-348, Raja Jipuram, Po- Rajajipuram, Ps- Talkatora, LuckNo-w, Uttar Pradesh, 266017",Lucknow,Uttar Pradesh,266017,9415586532,Operational
PMBJK02491,"Lgf -, Natkur Plaza Gauri BijNo-r Road, Natkur, Po- Sarojini Nagar, Ps- Sarojininagar, LuckNo-w, Uttar Pradesh, 226008",Lucknow,Uttar Pradesh,226008,9473583492,Operational
PMBJK02492,"Shop No-1, 47, Samta Nagar, Po- Indira Nagar, Ps- Indira Nagar, LuckNo-w, Uttar Pradesh, 226016",Lucknow,Uttar Pradesh,226016,9956081794,Operational
PMBJK02873,"Nh- 2, Sec - 2, Raj Medical Store, Shekhar Hospital, Po- Indira Nagar, Ps- Ghazipur, LuckNo-w, Uttar Pradesh, 226016",Lucknow,Uttar Pradesh,226016,,Operational
PMBJK02928,"Lal Kuaan Road, Naka Hindola, Po- Gurudwara Road, Ps- Naka Hindola, LuckNo-w, Uttar Pradesh, 226004",Lucknow,Uttar Pradesh,226004,9919921222,Operational
PMBJK02947,"Guru Tegh Bahadur Market, Latouhe Road, Po- Rajendra Nagar, Ps- Charbagh, Lucknow",Lucknow,Uttar Pradesh,226004,9807001005,Operational
